user_id,user_name,password,phone_number,social_media_address,domicile_address,city_id
80074,"Tgk. Diana Yolanda, M.TI.",8!$3uPjJ,+62-012-705-5466,instagram.com/tgk_diana_yolanda_mti,"Jl. Pasir Koja No. 55
Meulaboh, Nusa Tenggara Barat 47088",60028
80075,"Hj. Septi Situmorang, S.IP",NrE%)3Xy,+62-43-319-2383,instagram.com/hj_septi_situmorang_sip,"Gang Ciumbuleuit No. 07
Manado, LA 70723",60015
80076,"R. Indah Budiyanto, S.Gz",iz%59MDy,(0504) 698 8259,instagram.com/r_indah_budiyanto_sgz,"Jl. Sukabumi No. 69
Madiun, BA 74327",60002
80077,Danang Zulaika,@6yTXMPo,0863417434,instagram.com/danang_zulaika,"Gg. Dr. Djunjunan No. 004
Pontianak, Lampung 57954",60037
80078,Puti Sihotang,^U#62Hnk,+62 (0152) 706-7048,instagram.com/puti_sihotang,"Jl. Cempaka No. 0
Lubuklinggau, BT 18308",60011
80079,Qori Gunarto,m(0EModX,(079) 983-2041,instagram.com/qori_gunarto,"Gg. R.E Martadinata No. 62
Kota Administrasi Jakarta Selatan, KB 54543",60023
80080,"Ir. Safina Lailasari, M.M.",l$6iXMVp,(043) 774 8629,instagram.com/ir_safina_lailasari_mm,"Jl. HOS. Cokroaminoto No. 5
Banda Aceh, BT 92122",60012
80081,"Ibrahim Wahyudin, M.Pd",8%1aGWad,(0420) 354-1064,instagram.com/ibrahim_wahyudin_mpd,"Jalan Soekarno Hatta No. 59
Kendari, Aceh 55195",60003
80082,Daniswara Waluyo,#Pm6LDIm,+62 (935) 621 3577,instagram.com/daniswara_waluyo,"Jalan Siliwangi No. 4
Jambi, SU 92815",60017
80083,Tgk. Ajeng Mandala,&38IpuxQ,+62 (56) 665-9118,instagram.com/tgk_ajeng_mandala,"Gang Rawamangun No. 72
Padangpanjang, Papua 52425",60033
80084,Emong Sitorus,ql#5cBkG,(0210) 867 3616,instagram.com/emong_sitorus,"Gang Pasteur No. 5
Padang Sidempuan, KT 29796",60001
80085,Widya Uwais,#39PsoTv,+62-049-244-8185,instagram.com/widya_uwais,"Jalan Astana Anyar No. 69
Banjarbaru, Papua Barat 93609",60039
80086,"Cornelia Sirait, M.Ak",cp_9ZHrv,+62-20-155-7335,instagram.com/cornelia_sirait_mak,"Gang Kutisari Selatan No. 66
Lhokseumawe, Kalimantan Barat 51897",60020
80087,Artanto Saputra,&M_7hVkM,(0482) 760 1015,instagram.com/artanto_saputra,"Jl. Pasir Koja No. 757
Pekanbaru, Kalimantan Timur 90724",60014
80088,Cakrawala Padmasari,U$SY1bNs,+62-481-841-1894,instagram.com/cakrawala_padmasari,"Gg. Wonoayu No. 30
Sibolga, Papua Barat 49832",60031
80089,Karen Widodo,iB!i3N#t,+62-031-272-2742,instagram.com/karen_widodo,"Gang Kendalsari No. 2
Tidore Kepulauan, RI 54247",60025
80090,R.M. Emil Latupono,@y9huOVi,(0908) 601 1416,instagram.com/rm_emil_latupono,"Gg. Kiaracondong No. 2
Tual, SG 63846",60003
80091,Uchita Permadi,@8@Pbxnr,+62-463-798-8526,instagram.com/uchita_permadi,"Jalan Jakarta No. 422
Gorontalo, Jawa Timur 12494",60004
80092,Gaiman Nugroho,_94ZIS%m,+62-96-934-5857,instagram.com/gaiman_nugroho,"Gg. Joyoboyo No. 16
Magelang, SU 18800",60031
80093,"Drs. Titi Hidayanto, S.Pd",^Ik2ULpd,(0454) 223 7505,instagram.com/drs_titi_hidayanto_spd,"Gang Otto Iskandardinata No. 3
Pagaralam, SR 94852",60035
80094,Zahra Sitompul,zd@8XWDg,(0943) 017-8236,instagram.com/zahra_sitompul,"Gg. Siliwangi No. 558
Probolinggo, Jambi 98335",60014
80095,Lidya Kurniawan,i%8Vyw#X,+62 (820) 767 7503,instagram.com/lidya_kurniawan,"Jl. BKR No. 5
Padang Sidempuan, JA 35112",60009
80096,Kanda Laksmiwati,(8n)LMo9,+62-172-188-6943,instagram.com/kanda_laksmiwati,"Jl. Sukajadi No. 33
Pematangsiantar, KR 38195",60020
80097,Jessica Siregar,a9j_5Kr%,+62 (060) 875 0394,instagram.com/jessica_siregar,"Gg. Indragiri No. 909
Kota Administrasi Jakarta Selatan, SN 01551",60032
80098,Jatmiko Latupono,(F75lO5w,(078) 410-1566,instagram.com/jatmiko_latupono,"Gg. Joyoboyo No. 167
Madiun, KI 32090",60009
80099,"Najwa Aryani, S.Gz",68(6Dqep,(034) 768 0647,instagram.com/najwa_aryani_sgz,"Gg. Pacuan Kuda No. 915
Tasikmalaya, LA 77374",60027
80100,Juli Mangunsong,#12Rie+i,+62 (66) 699 4785,instagram.com/juli_mangunsong,"Jalan Rungkut Industri No. 965
Kota Administrasi Jakarta Selatan, PB 29871",60003
